cell_name,genes
B cells,AIM2;PXK
B cells AICDA+ LRMP+,MB21D1
DC1,IDO1
DC2 CD1D-,P2RY6;SCO2
DC2 CD1D+,P2RY6;SCO2
IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+),
ILCs,
Immune Cycling cells,
Macrophages,C15orf48;TYMP
Macrophages CCL3+ CCL4+,SLC15A3;CD163;LGMN;SIRPA;ADAMDEC1
Macrophages CXCL9+ CXCL10+,CXCL9
Macrophages LYVE1+,MT1M;ADM
Macrophages Metallothionein,MX1;MICB;MTHFD2L;TREX1;EXT1;IFIT5;IFIT1;BUB1
Macrophages PLA2G2D+,
Mast cells,
Mature DCs,
Monocytes CHI3L1+ CYP27A1+,IFI27;ERLIN1;SLC25A30;GPX2;T cells CD4+ IL17A+;CCL8;Neutrophils S100A8+ S100A9+;MT1H;IGFBP2;TNFAIP6;LEPR
Monocytes S100A8+ S100A9+,IL1RN
Neutrophils S100A8+ S100A9+,IFI27;ERLIN1;SLC25A30;GPX2;T cells CD4+ IL17A+;ETV7;CCL8;FZD5;APOBEC3A;MT1H;IGFBP2;HERC6;C10orf10;ZNF385B;VEGFC;USP18;UPP2;TRIM34;TMEM255A;TLR3;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;NT5C3;NRN1;NPAS2;NEURL3;MKX;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IFNLR1;HLA-G;HESX1;GJA4;G6PC;FTSJD2;FNDC4;FFAR2;CYP1B1;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CCNA1;C5orf27;C22orf28;BATF2;AQP9;ANGPTL1;AMPH;AHNAK2;ABLIM3;ABTB2;NOD2;Monocytes CHI3L1+ CYP27A1+;ENPP1
NK cells KLRF1+ CD3G-,NDC80;RTP4
Plasma cells,
T cells CD4+ FOSB+,
T cells CD4+ IL17A+,IFI27;SLC25A30;GPX2;ETV7;CCL8;FZD5;Neutrophils S100A8+ S100A9+;APOBEC3A;IGFBP2;HERC6;C10orf10;ZNF385B;VEGFC;USP18;UPP2;TRIM34;TNFAIP6;TMEM255A;TLR3;TBX3;TAP2;STEAP4;SLC1A1;SERPINE1;SAA1;RNASE4;PHF15;PDGFRL;NT5C3;NRN1;NPAS2;NEURL3;MKX;MAP3K14;MAB21L2;LRG1;IL17RB;IFNLR1;HLA-G;HESX1;GJA4;G6PC;FTSJD2;FNDC4;FFAR2;CYP1B1;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CCNA1;C5orf27;C22orf28;BATF2;AQP9;ANGPTL1;AMPH;AHNAK2;ABLIM3;ABTB2;NOD2;Monocytes CHI3L1+ CYP27A1+;ENPP1
T cells CD8+,
T cells CD8+ KLRG1+,
T cells Naive CD4+,
T cells OGT+,
Tregs,
